TF	target	importance
Lpar1	Gabrg1	18.208428229965644
Ar	Ntng1	18.198055240547127
Pgr	Tacr1	18.169863792197653
Gda	Esr1	18.166852118685533
Htr2c	Oprd1	18.13926810007609
Fn1	Ndnf	18.11259289110794
Prlr	Pgr	18.027694983256904
Mlc1	Ndrg1	18.024036118193635
Klf4	Sema3c	18.01781954043172
Cpne5	Oprl1	18.00446926819403
Ntng1	Necab1	17.979261322690217
Gabrg1	Prlr	17.973444968368668
Gad1	Pnoc	17.85120378461861
Esr1	Sytl4	17.842346757861584
Ndrg1	Fn1	17.840629857676664
Ndrg1	Amigo2	17.830181494132237
Sema3c	Rgs5	17.806885134392722
Opalin	Ndrg1	17.777933247868173
Gpr165	Brs3	17.772133771034785
Pgr	Tmem108	17.76998410512349
Cxcl14	Sox6	17.65513620623747
Gabra1	Tacr3	17.645140717956355
Chat	Oprd1	17.63053007586413
Cspg5	Bmp7	17.578775398300778
Pak3	Coch	17.563690777519202
Ar	Irs4	17.548821285903642
Plin3	Ttyh2	17.501696457934198
Selplg	Slc15a3	17.45308953671864
Irs4	Npy2r	17.400399854457074
Greb1	Npas1	17.31246160209885
Gda	Cyp19a1	17.307088945261736
Rnd3	Fst	17.24373674685216
Gabra1	Gpr165	17.235590256293403
Syt4	Oprk1	17.22630964224016
Ndrg1	Sox4	17.199238496164124
Slc17a6	Nos1	17.168988570259284
Dgkk	Gad1	17.15571471322861
Cpne5	Necab1	17.154694726493265
Gda	Gabrg1	17.152237482384397
Opalin	Man1a	17.141106252561123
Gpr165	Rgs2	17.11134293367898
Pak3	Necab1	17.076890644953302
Prlr	Dgkk	17.074290321422147
Oprl1	Rgs2	17.03669410062283
Slc17a6	Galr1	17.010162172278722
Cpne5	Crhr1	16.994836706278658
Gpr165	Pak3	16.990440117373584
Dgkk	Onecut2	16.957320345199868
Ar	Oprd1	16.860381489494316
Syt4	Baiap2	16.848935930866194
Gabra1	Amigo2	16.83462088207969
Col25a1	Crhr1	16.826848032092066
Cpne5	Rgs2	16.82073000197143
Gda	Col25a1	16.68646172154837
Ar	Gad1	16.574068868347062
Gjc3	Baiap2	16.54708199075766
Sox8	Plin3	16.54554967727526
Oprd1	Crhr1	16.542530617615427
Oprl1	Pcdh11x	16.50452548359043
Ttyh2	Cxcl14	16.49363233949487
Lpar1	Plin3	16.404714609075164
Cspg5	Lpar1	16.395832646688646
Pou3f2	Cxcl14	16.378262769740285
Trhr	Ntng1	16.377919063504624
Myh11	Npy1r	16.370192098226656
Necab1	Slc17a6	16.369070726425182
Cbln2	Serpinb1b	16.35679877070954
Chat	Ntsr1	16.35112790148083
